"","tweet"
"148","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  "
"149"," done"
"150"," yall impossible  get ahold  cancelled everything   guys  long ago  yall still charging  every month"
"151","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  "
"152"," explain     dont use  yellow cab   jfk minute wait    illegal cabs dow "
"153"," call  game  uber"
"154"," uber proud  see   great turnout   first tanggathon session last night thank  everyone  com "
"155","imagine getting several tickets  dates  times   werent parked   thats  tracy lang  ube "
"156","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  "
"157"," enormously frustrating  watch  pens severely like uber severely underperform   overtime situations"
"158","  nigerian lady said    thought bas  beating uber driv "
"159","  youre  twitter   work   sounds mighty unprofessional  "
"160","  khatara cabs  unhygienic driverscharging like  limo dont exactly know  uber india  "
"161","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  "
"162"," anyone calls   passenger princess   car    one way ticket  getting left   uber princess bitch"
"163","loser uber   "
"164","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  "
"165","   looked like  irl  wouldnt    app lmaooo"
"166"," good riddance uber doosh"
"167","   driving"
"168","apparently can charge  account without  full acknowledgement  understanding    charged "
"169","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  "
"170"," hate  uber doesnt let  change  profile picture  look way better    years ago man"
"171","nobody gives  shit pick   bags  go  uber  waiting "
"172"," republicans uber  available  free take advantage  voting tomorrow "
"173"," miles  miles    happens  drivers take  customers   "
"174","taxing  wealth   uber wealthy     option   obligation   government   duty  "
"175","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  "
"176","  deliveries  uber  youd  surprised  secure  places   surveillance everywhere   wan "
"177","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  "
"178"," uber eats   ginger ale"
"179","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  "
"180"," boycott muslim drivers just refuse  ride   uber ola rapido platforms"
"181","  best conversation   uber driver home today "
"182","uber  good value"
"183","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  "
"184"," uber   line cooks whore soberish  willing  come   short notice"
"185","oh  theyre begging   cross shot okay  can eat  uber cut shot"
"186","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  "
"187","   sure cuz  pics say otherwise lmfao"
"188"," davie revealing  uber rare "
"189"," uber got nothing   breathing dummy hard "
"190","uber  matchmaking now thats crazy"
"191"," ubereats driver app  stopped showing drop  address "
